
2024-03-1211:09:57	74f911d8-013f-4213-98c3-245bd43169d2	/index	GET
2024-03-1211:09:57	125ded9e-1629-4755-9f99-00cacf9e4682	/css/style.css	GET
2024-03-1211:09:57	078401bf-49bc-45a2-8247-65f2eb5e2b63	/favicon.ico	GET
2024-03-1213:11:28	10fc899b-9e79-4ff3-8ef5-56ff7f25793e	/css/style.css	GET
2024-03-1213:11:28	b5fb06ca-d5de-4e9a-966c-3d14a63a0db8	/favicon.ico	GET
2024-03-1316:23:01	0e031d86-fadc-4553-b14e-f0eba2696cc1	GET	 undefined//	/index.html
2024-03-1316:23:01	864b53c9-c22a-4a9b-b92d-7e80b05d75ae	GET	 undefined//	/css/style.css
2024-03-1316:31:13	72c6db90-49d7-4b9c-a6a1-ba441a8fe9f6	GET	 undefined//	/index.html
2024-03-1316:31:13	583bb95f-3070-467c-b8a7-f44bebb8608a	GET	 undefined//	/css/style.css
2024-03-1316:32:10	a56d22f9-04cd-4d0c-82a9-0cb563a84b1d	GET	 undefined//	/index.html
2024-03-1316:32:59	90c28ebe-4d5f-4f04-8005-cde5d8be8b26	GET	 undefined//	/index.html
2024-03-1316:32:59	0ec96974-e517-4262-8027-77646018aab8	GET	 undefined//	/css/style.css
2024-03-1319:49:01	5a78edbe-ba2c-44cb-aa82-867dc56057d9	GET	 undefined//	/index.html
2024-03-1319:49:02	317d503b-e52a-4a04-a432-8163469b70f6	GET	 undefined//	/css/style.css
2024-03-1319:50:39	f08d7613-d9b0-4072-b96e-512324425c50	GET	 undefined//	/css/style.css
2024-03-1319:50:40	6db0a2a6-228d-460a-befe-4aac6468da59	GET	 undefined//	/
2024-03-1319:50:40	d40853d0-588a-4e3e-8814-4d8635d54480	GET	 undefined//	/css/style.css
2024-03-1319:50:57	83df6f96-4a93-4bbd-97ad-1ee8a956213c	GET	 undefined//	/subdir
2024-03-1319:50:57	f4b61d47-e420-4c46-be55-fe54346c1e00	GET	 undefined//	/css/style.css
2024-03-1319:51:34	4bce858b-282c-4be3-bfa3-65eb18a3b710	GET	 undefined//	/subdir
2024-03-1319:51:34	dcaf42b0-5b9c-4501-ac24-9608a931d991	GET	 undefined//	/css/style.css
2024-03-1319:52:50	58a47c0d-5c74-4561-a822-e359f7f8e1a9	GET	 undefined//	/subdir
2024-03-1319:52:50	2416cc7a-361f-452b-ae18-2786fd57ff8f	GET	 undefined//	/css/style.css
2024-03-1319:53:50	6e5abe66-f7ea-4e1d-ab1a-e192939810b2	GET	 undefined//	/subdir
2024-03-1319:53:56	25cfd134-43df-4c23-be31-f0fbc8b853c2	GET	 undefined//	/subdir
2024-03-1319:53:57	38c00c86-7d97-4c86-9e5f-13532fef50d4	GET	 undefined//	/css/style.css
2024-03-1319:57:38	f622d7e8-44e1-430d-a7a8-c121015c6403	GET	 undefined//	/subdir
2024-03-1319:57:38	3669af58-d73a-4e9c-8d54-19ada766e275	GET	 undefined//	/css/style.css
2024-03-1319:57:53	ff88637c-35a4-4dbb-812a-9b430c0c92fb	GET	 undefined//	/subdir/test.html
2024-03-1319:58:09	5895770a-5dcb-4f8c-bfa1-e5da55b74ea1	GET	 undefined//	/subdir/index.html
2024-03-1319:58:31	898f10c2-8ccd-4261-bba6-e38247fd261b	GET	 undefined//	/subdir/test.html
2024-03-1319:59:09	0c0e1fad-9b70-4af6-a326-7a4240ef84f6	GET	 undefined//	/subdir/test
2024-03-1319:59:19	7533b6e2-a422-49a5-af02-01190f29a99f	GET	 undefined//	/subdir/test.js
2024-03-1319:59:19	b7849648-e69b-4247-8de3-6e3e141d053f	GET	 undefined//	/css/style.css
2024-03-1319:59:53	18e71481-c309-4bdc-b643-785992331aa8	GET	 undefined//	/subdir/dave
2024-03-1319:59:53	ab1f860e-499b-4695-9285-d4e4690ebbee	GET	 undefined//	/css/style.css
2024-03-1320:01:38	cab9fe72-1632-48e4-ae94-b3a2844bc609	GET	 undefined//	/subdir/dave
2024-03-1320:01:38	2034e55c-461f-4f64-8864-c812b702a09e	GET	 undefined//	/css/style.css
2024-03-1320:33:53	e76cfe43-e770-4d1b-ac0f-496ad7122d50	GET	 undefined//	/subdir/dave
2024-03-1320:33:53	9edc2a2e-1e5d-458a-b6ef-4282186e3b1e	GET	 undefined//	/css/style.css
2024-03-1320:34:58	d7dfa254-652d-4783-b071-e94716a88dd8	GET	 undefined//	/subdir/dave
2024-03-1320:34:59	453deedd-1bd0-41f8-b5be-b69d16ef2733	GET	 undefined//	/css/style.css
2024-03-1320:35:43	d031345c-93e7-4684-866d-5205b40e4514	GET	 undefined//	/css/style.css
2024-03-1320:35:47	15b00b1e-1aa4-441a-86bb-ef3547d505c9	GET	 undefined//	/index
2024-03-1320:35:48	b84a7cdf-084c-4343-be79-4ccbac7f9db0	GET	 undefined//	/css/style.css
2024-03-1320:35:49	ecfa4326-e9cd-4ad1-9078-a99564142f00	GET	 undefined//	/index
2024-03-1320:35:49	bc9aee9a-3e38-4ba3-8f78-6f4d6bded8cf	GET	 undefined//	/css/style.css
2024-03-1320:36:06	34303b72-9363-40dc-b458-6ad3ecea3b5f	GET	 undefined//	/old-page.html
2024-03-1320:36:06	7ff07159-cb29-4515-a15e-9415d06fa922	GET	 undefined//	/new-page.html
2024-03-1320:36:06	747b24fd-38f7-45bc-94a5-419cd89a3ddf	GET	 undefined//	/css/style.css
2024-03-1320:36:06	31d6cca5-0ef2-449e-bf74-fc786b0e21ce	GET	 undefined//	/img/img1.jpg
2024-03-1322:53:25	54455e21-901d-4fca-bfe7-febfbffea761	GET	 undefined//	/subdir/test.html
2024-03-1322:53:36	097e619c-eb80-4f06-bbd1-c54c9eb067de	GET	 undefined//	/css/style.css
2024-03-1322:53:37	da08bda5-b1c4-4882-b8f5-85bfdb4ba9f4	GET	 undefined//	/
2024-03-1322:53:37	6c4e17e9-72c9-4093-84b7-321c68da44c1	GET	 undefined//	/css/style.css
2024-03-1323:10:14	c23449d6-342a-468b-a423-5a9e16856ec3	GET	 undefined//	/employees
2024-03-1323:10:22	6da80400-37aa-4189-a0d9-248570a3b7c7	GET	 undefined//	/employees
2024-03-1323:10:27	2f4fc0e0-3878-4ab0-a81f-4c73566c989b	POST	 undefined//	/employees
2024-03-1323:10:33	09e8fb82-41d5-41d6-807c-732c7847affc	PUT	 undefined//	/employees
2024-03-1323:10:37	10a2b893-fe19-4ecc-9613-f6c52da1986a	DELETE	 undefined//	/employees
2024-03-1323:10:41	a4ad153f-e751-4c60-aae6-d6ecf1e6f3c4	GET	 undefined//	/employees
2024-03-1323:12:01	96a77771-d8a2-4f6c-a782-455d515c1291	GET	 undefined//	/employees
2024-03-1323:12:05	2c10679c-56e4-4a09-8569-2f61734f8080	POST	 undefined//	/employees
2024-03-1323:13:41	9e7a5d8b-8e4f-4e76-a121-85ba58414437	POST	 undefined//	/employees
2024-03-1323:15:19	a07a3d31-b0ee-457f-b361-bbe23422c94c	POST	 undefined//	/employees
2024-03-1323:15:50	25b263da-115e-4f23-9c2f-a27b75456a9e	POST	 undefined//	/employees
2024-03-1323:15:56	0d452776-60f0-4dc1-bc4c-a52b820ffbdc	POST	 undefined//	/employees
2024-03-1323:16:01	9f6b20ea-15ce-4f7a-8362-fa60b2c9e86b	POST	 undefined//	/employees
2024-03-1323:16:17	94448f7f-f2f3-40d5-b588-4b19af939743	PUT	 undefined//	/employees
2024-03-1323:18:03	232c5f73-8a67-4334-8fda-9cf4c4067d02	DELETE	 undefined//	/employees
2024-03-1323:18:23	66f7dc78-73f8-41a0-95db-d3e1076e35d5	DELETE	 undefined//	/employees/1
2024-03-1323:18:38	b5b71c8d-55c3-49de-b767-6c1084c6941f	GET	 undefined//	/employees/1
2024-03-1323:18:46	92c1c056-9a60-408b-85bb-ea5bf8103871	GET	 undefined//	/employees/2
2024-03-1323:18:54	027aedf5-8eab-4a52-aa1d-dd7c7c73dc50	GET	 undefined//	/employees/3
2024-03-1323:19:05	84e66729-c4a2-4058-b898-d6cfb2495aec	DELETE	 undefined//	/employees/3
2024-03-1323:19:31	305fb4c1-effb-4571-be7f-58f20895db1e	DELETE	 undefined//	/employees/3
2024-03-1323:19:38	1d66e938-ef0d-420b-bb93-378d70889661	DELETE	 undefined//	/employees
2024-03-1323:19:50	57d52f03-9413-4956-8201-62491c15c947	GET	 undefined//	/employees/1
